0.00056441,-7.8961e-20,0.00098797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.3204e-17,-2.693e-19,-6.0319e-19,1.227e-18,-3.0447e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6.8708e-05,5.37e-20,0.0066024,-1.2172e-20,0.0067502,3.335e-21,9.7244e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3443e-18,-3.4844e-20,-1.2248e-17,-8.727e-19,2.7815e-18,6.5393e-19,5.7747e-18,2.3481e-20,-1.321e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.7195e-06,5.9966e-20,0.00010678,2.0649e-20,-0.0016603,5.1882e-20,-0.0020176,-1.5841e-19,0.00010711,2.5672e-22,7.1718e-06,0,0,0,0,0,0,0,0,0,0,0,0
-1.3385e-20,-1.3809e-21,6.7993e-19,-1.2173e-20,-4.9606e-19,1.3554e-19,-1.0493e-18,-1.0582e-19,1.7153e-18,-1.3758e-21,5.1648e-19,2.2584e-20,3.7758e-19,0,0,0,0,0,0,0,0,0,0
2.7408e-07,8.0252e-21,5.1207e-07,-5.4626e-20,-2.9301e-05,-4.0028e-20,8.9619e-05,-2.8826e-20,0.00024023,8.5236e-20,-2.9381e-05,4.6373e-20,2.969e-07,3.2771e-20,9.2062e-08,0,0,0,0,0,0,0,0
5.4879e-19,-1.7612e-20,-9.6586e-19,-3.8079e-20,6.4595e-19,5.4531e-20,2.8665e-19,-6.2183e-19,-5.2396e-19,-5.7427e-19,-5.658e-21,6.1658e-20,-5.3137e-19,-1.8589e-20,-6.4829e-20,-7.4467e-20,-1.2178e-19,0,0,0,0,0,0
2.1807e-09,-3.2677e-20,-8.6485e-09,-5.0556e-20,-2.0946e-07,-5.0302e-20,2.5234e-06,9.8184e-20,8.9214e-06,-9.0381e-20,-2.0674e-05,1.2291e-19,3.0449e-06,7.8387e-21,-1.9e-07,-4.7249e-20,-3.241e-09,9.9483e-20,3.2628e-09,0,0,0,0
8.0516e-20,-1.6557e-20,-1.8461e-20,2.7752e-20,5.2843e-20,9.6013e-21,-1.049e-19,-6.432e-20,2.6508e-19,1.4077e-18,-4.3335e-19,1.4018e-18,-5.2178e-19,8.6816e-21,-6.0666e-19,-2.0161e-20,8.939e-19,-2.9287e-20,-1.098e-18,2.4091e-20,4.0212e-19,0,0
6.306e-11,5.6482e-20,-7.1572e-11,-1.0507e-20,-4.4614e-10,4.9126e-20,1.9848e-08,6.8538e-20,-8.4264e-08,-1.8197e-19,-1.7168e-06,5.8157e-20,1.607e-06,-6.8636e-20,-1.892e-07,5.9836e-20,1.8911e-08,4.5462e-20,-5.237e-10,-5.5054e-20,-1.1241e-10,-2.8018e-20,1.352e-11
